,Unnamed: 0,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source,lastLetter
200,200,Adaku Ufere-Awoonor,Adaku,Ufere-Awoonor,female,NG,Africa,1985,False,False,wikidata,u
201,201,Oceanne Iradukunda,Oceanne,Iradukunda,female,RW,Africa,1996,False,False,wikidata,e
202,202,Laila Gohar,Laila,Gohar,female,EG,Africa,1988,False,False,wikidata,a
204,204,Tanatsei Gambura,Tanatsei,Gambura,female,ZW,Africa,1999,False,False,wikidata,i
205,205,Mosun Belo-Olusoga,Mosun,Belo-Olusoga,female,NG,Africa,1957,False,False,wikidata,n
206,206,Arame Fall,Arame,Fall,female,SN,Africa,1936,False,False,wikidata,e
207,207,Nomvelo Makhanya,Nomvelo,Makhanya,female,ZA,Africa,1996,False,False,wikidata,o
208,208,Nunu Khumalo,Nunu,Khumalo,female,ZA,Africa,1992,False,False,wikidata,u
209,209,Gcina Nkosi,Gcina,Nkosi,female,ZA,Africa,1992,False,False,wikidata,a
210,210,Lara Sousa,Lara,Sousa,female,MZ,Africa,1991,False,False,wikidata,a
211,211,Sanaâ Mssoudy,Sanaâ,Mssoudy,female,MA,Africa,1999,False,False,wikidata,â
212,212,Jihan al-Mosli,Jihan,al-Mosli,female,,,1908,False,False,wikidata,n
213,213,Rosebell Kagumire,Rosebell,Kagumire,female,UG,Africa,1983,False,False,wikidata,l
214,214,Francesca Emanuel,Francesca,Emanuel,female,NG,Africa,1933,False,False,wikidata,a
217,217,Lorcia Cooper,Lorcia,Cooper,female,ZA,Africa,1978,False,False,wikidata,a
219,219,Obianuju Ekeocha,Obianuju,Ekeocha,female,NG,Africa,1979,False,False,wikidata,u
220,220,Priscilla Kuye,Priscilla,Kuye,female,NG,Africa,1940,False,False,wikidata,a
223,223,Sinatu Ojikutu,Sinatu,Ojikutu,female,NG,Africa,1946,False,False,wikidata,u
225,225,Titilayo Laoye-Tomori,Titilayo,Laoye-Tomori,female,NG,Africa,1948,False,False,wikidata,o
226,226,Blessing Nsiegbe,Blessing,Nsiegbe,female,NG,Africa,1965,False,False,wikidata,g
